,session,mse,corr,abs_diff,cohen_kappa,valuesum,interpersonal_list,interpersonal_diff,agreeable_general_sum,likingscale_sum,extraversion_diff,agreeableness_diff,conscientiousness_diff,neuroticism_diff,openness_diff,religiousness_diff,political_diff,agreeable_general_diff,relationalc_diff,likingscale_diff,valuesum_diff,extraversion,agreeableness,conscientiousness,neuroticism,openness,religiousness,political,agreeable_general,relationalc,likingscale,slopes,r_values,p_values,slope_diff
0,3.0,24.4710182767624,0.08786579822130254,4.6207136640557005,0.00681742948642905,4.610966057441253,"[0.2732114882506528, 0.5968929503916448]",0.323681462140992,13.0,12.428571428571429,4,3,3,1,3,,,1.0,,0.14285714285714235,"[1.3589208006962576, 5.969886858137511]","[8, 4]","[7, 10]","[9, 6]","[6, 7]","[7, 10]","[nan, nan]","[nan, nan]","['6', '7']","[nan, nan]","[6.142857142857143, 6.285714285714286]",[11.54667508 59.12031512],[0.95059199 0.99983174],[0. 0.],47.5736400365876
1,4.0,0.2991468506080958,-0.0027424497914984966,0.29624251225267745,-0.08088918700765446,0.10709747685605372,"[0.0691051007442367, 0.16873298239244874]",0.09962788164821204,11.0,8.714285714285715,1,1,1,2,4,2.0,1.0,1.0,,0.14285714285714324,"[0.16863314576148122, 0.061535668905427485]","[6, 5]","[7, 6]","[6, 5]","[8, 6]","[9, 5]","[4.0, 2.0]","[6.0, 5.0]","['5', '6']","[nan, nan]","[4.428571428571429, 4.285714285714286]",[2.06624329 0.9500047 ],[0.9036017 0.9144214],[0. 0.],1.116238593128792
2,5.0,11.212862834376779,0.46873339251830226,2.393284006829824,0.12506928003056006,2.250996015936255,"[0.5312322140011383, 0.3552504268639727]",0.1759817871371656,14.0,12.142857142857142,5,2,2,4,5,2.0,5.0,0.0,,1.8571428571428568,"[5.313602731929425, 3.0626067159931702]","[5, 10]","[9, 7]","[8, 10]","[6, 2]","[5, 10]","[4.0, 6.0]","[6.0, 1.0]","['7', '7']","[nan, nan]","[5.142857142857143, 7.0]",[53.39627887 33.13563213],[0.99462086 0.97762785],[0. 0.],20.260646741485942
3,14.0,0.35093277015135516,0.8504463359286921,0.3361492432242168,0.234881192221289,0.22351284758887716,"[0.6686730024639211, 0.6463217177050335]",0.02235128475888759,14.0,12.714285714285715,3,1,1,1,1,5.0,4.0,0.0,,0.42857142857142794,"[6.688137979584654, 6.464625131995776]","[8, 5]","[8, 7]","[10, 9]","[5, 6]","[10, 9]","[1.0, 6.0]","[7.0, 3.0]","['7', '7']","[nan, nan]","[6.142857142857143, 6.571428571428571]",[69.22796093 66.0396767 ],[0.99980018 0.99982248],[0. 0.],3.1882842301702112
4,22.0,4.255157648890619,0.03570422210760617,1.6529778123783574,-0.017211555625046504,0.44706111327364734,"[0.1557123394316855, 0.30404826780848576]",0.14833592837680026,9.0,8.142857142857142,0,1,3,4,0,5.0,5.0,1.0,,1.285714285714286,"[0.288049824834566, -0.15901128843908136]","[6, 6]","[3, 2]","[7, 4]","[6, 2]","[5, 5]","[2.0, 7.0]","[7.0, 2.0]","['5', '4']","[nan, nan]","[3.4285714285714284, 4.714285714285714]",[ 3.71006213 -4.07282372],[ 0.90478528 -0.6934582 ],[0. 0.],7.782885848781132
5,25.0,11.098090602770498,0.7118053860587904,3.237738674653688,-0.03146481699534509,3.1426432047922126,"[0.3359415949082741, 0.6383564208161738]",0.30241482590789975,14.0,12.142857142857142,1,1,2,5,1,2.0,4.0,0.0,,0.7142857142857144,"[3.24166978659678, 6.384312991388993]","[8, 7]","[8, 9]","[8, 10]","[7, 2]","[8, 7]","[2.0, 4.0]","[5.0, 1.0]","['7', '7']","[nan, nan]","[5.714285714285714, 6.428571428571429]",[36.05211952 67.7262512 ],[0.99351582 0.99894149],[0. 0.],31.674131680070737
6,26.0,11.907559880239521,0.21406989299347748,2.6339820359281436,0.03543044926346961,0.5789670658682635,"[0.3220434131736527, 0.32834955089820367]",0.006306137724550964,8.0,4.571428571428571,2,3,5,7,1,6.0,6.0,2.0,,0.8571428571428572,"[1.6669161676646707, 1.0879491017964071]","[2, 4]","[4, 7]","[3, 8]","[9, 2]","[6, 7]","[1.0, 7.0]","[7.0, 1.0]","['5', '3']","[nan, nan]","[2.7142857142857144, 1.8571428571428572]",[17.99773433 11.089268  ],[0.99398677 0.79835396],[0. 0.],6.908466329521691
7,32.0,12.696498054474707,0.07648544389438089,2.6871595330739297,0.044337811727435894,0.17237354085603113,"[0.4402918287937742, 0.5368774319066147]",0.09658560311284053,13.0,11.285714285714285,4,5,1,0,1,5.0,4.0,1.0,,2.428571428571428,"[3.943774319066148, 3.7714007782101167]","[6, 10]","[10, 5]","[9, 8]","[3, 3]","[9, 10]","[1.0, 6.0]","[6.0, 2.0]","['6', '7']","[nan, nan]","[4.428571428571429, 6.857142857142857]",[34.08639644 38.10195552],[0.97484511 0.99706833],[0. 0.],4.015559078794816
8,38.0,21.8499000999001,-0.09408633121240699,4.229520479520479,0.029342955478705135,4.18006993006993,"[0.16032717282717285, 0.4494380619380619]",0.28911088911088906,11.0,10.857142857142858,1,5,0,5,5,6.0,2.0,3.0,,1.1428571428571432,"[0.31518481518481517, 4.495254745254745]","[6, 7]","[8, 3]","[9, 9]","[9, 4]","[10, 5]","[1.0, 7.0]","[7.0, 5.0]","['4', '7']","[nan, nan]","[4.857142857142857, 6.0]",[ 1.9891436  46.07316501],[0.47062635 0.99774366],[7.05191083e-220 0.00000000e+000],44.084021414489854
9,39.0,6.365373251920426,0.48289153927308076,1.4356903683277527,0.21942498723442772,0.7419736064605081,"[0.6098581839669096, 0.5162005121134529]",0.09365767185345675,14.0,10.428571428571427,1,4,1,5,2,5.0,4.0,0.0,,1.2857142857142856,"[5.441008469568643, 4.6990348631081345]","[7, 8]","[4, 8]","[8, 7]","[10, 5]","[10, 8]","[1.0, 6.0]","[6.0, 2.0]","['7', '7']","[nan, nan]","[4.571428571428571, 5.857142857142857]",[51.94308702 44.37171396],[0.99213275 0.99629849],[0. 0.],7.571373058728547
10,40.0,20.33406681336267,0.45366580937889345,2.9173834766953393,0.09292619437197314,2.167633526705341,"[0.5942888577715544, 0.5275955191038209]",0.06669333866773353,10.0,7.0,0,0,0,0,1,1.0,4.0,4.0,,2.428571428571429,"[2.7361472294458893, 4.90378075615123]","[8, 8]","[8, 8]","[8, 8]","[4, 4]","[9, 8]","[1.0, 2.0]","[5.0, 1.0]","['3', '7']","[nan, nan]","[2.2857142857142856, 4.714285714285714]",[26.72066997 52.41071676],[0.89715595 0.99479227],[0. 0.],25.69004678918978
11,41.0,6.061754176610979,0.7360542142872969,2.011038186157518,0.11742412927420653,1.6625894988066825,"[0.3176014319809069, 0.4337559665871122]",0.11615453460620528,14.0,11.571428571428573,2,0,2,5,4,6.0,3.0,0.0,,1.2857142857142856,"[2.530727923627685, 4.193317422434368]","[4, 2]","[7, 7]","[8, 10]","[5, 10]","[10, 6]","[7.0, 1.0]","[5.0, 2.0]","['7', '7']","[nan, nan]","[5.142857142857143, 6.428571428571429]",[29.26652214 44.5746723 ],[0.99199593 0.99646349],[0. 0.],15.308150156555861
