StartDate,DistributionChannel,UserLanguage,Q21,Q1,Q2,Q2_5_TEXT,Q3,Q4,Q4_8_TEXT,Q5,Q20,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q22_1,Q14_1,Relational Commun_1,Relational Commun_2,Relational Commun_3,Relational Commun_4,Relational Commun_5,Relational Commun_6,Relational Commun_7,Relational Commun_8,Relational Commun_9,Relational Commun_10,Relational Commun_11,Relational Commun_12,Relational Commun_13,Relational Commun_14,Relational Commun_15,Relational Commun_16,liking scale_1,liking scale_2,liking scale_3,liking scale_4,liking scale_5,liking scale_6,liking scale_7
2023-02-20 11:20:07,anonymous,EN,6,30,Male,,German,Caucasian/European American/White,,Proficient User,"German, Spanish, French, Latin",Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,6,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongry Agree,Agree,Agree,Agree,Agree
2023-02-20 11:20:03,anonymous,EN,7,38,Male,,Taiwan,Asian/Asian American,,Proficient User,"Mandarin Chinese, Taiwanese",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,,7,Agree,Agree,Strongry Agree,Strongry Agree,Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongry Agree,Agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Agree,Agree,Strongry Agree,Agree,Agree,Agree
2023-02-25 08:24:56,anonymous,EN,8,20,Female,,Chinese,Asian/Asian American,,Native speaker,Mandarin Chinese,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Religious,14,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-02-25 08:24:36,anonymous,EN,9,21,Male,,American,African/African American/Black,,Native speaker,N/A,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,13,6,Somewhat agree,Agree,Strongry Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
2023-02-28 08:26:33,anonymous,EN,10,34,Female,,Colombian,Hispanic/Latino/Latina/Latinx/Latine,,Native speaker,no,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Religious,14,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree
2023-02-28 08:26:50,anonymous,EN,11,55,Female,,American,Caucasian/European American/White,,Native speaker,no,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,6,Very Conservative,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongry Agree,Disagree,Disagree,Strongry Agree,Strongry Agree,Disagree,Disagree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree
2023-03-01 11:12:20,anonymous,EN,29,33,Female,,American,Caucasian/European American/White,,Native speaker,N/A,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,6,11,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongry Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Agree,Strongry Agree,Strongry Agree,Strongry Agree,Agree,Agree,Strongry Agree
2023-03-01 11:12:20,anonymous,EN,28,58,Female,,United States,Caucasian/European American/White,,Native speaker,n/a,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Not at all religious,Very Liberal,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongry Agree,Strongry Agree,Somewhat agree,Agree,Agree
2023-03-03 09:15:40,anonymous,EN,44,31,Male,,American,Caucasian/European American/White,,Native speaker,No,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,2,Very Liberal,5,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
2023-03-03 09:15:43,anonymous,EN,45,46,Male,,American,Caucasian/European American/White,,Native speaker,German,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Very Religious,10,4,Agree,Somewhat agree,Strongry Agree,Strongry Agree,Agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongry Agree,Strongry Agree,Disagree,Strongly Disagree,Agree,Agree,Strongry Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Somewhat agree
2023-03-03 12:27:17,anonymous,EN,50,24,Male,,USA,Caucasian/European American/White,,Native speaker,,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,2,13,7,Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree
2023-03-03 12:27:17,anonymous,EN,51,48,Male,,American,Caucasian/European American/White,,Native speaker,No,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat Religious,Very Conservative,7,Agree,Agree,Strongry Agree,Strongry Agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Agree,Agree,Somewhat agree
2023-03-03 13:17:13,anonymous,EN,53,31,Male,,United States of America ,Caucasian/European American/White,,Native speaker,Spanish ,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Very Religious,Very Conservative,3,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
2023-03-03 13:17:14,anonymous,EN,52,32,Female,,Chinese American,Asian/Asian American,,Native speaker,Mandarin,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Not at all religious,Very Liberal,5,Somewhat agree,Somewhat agree,Strongry Agree,Agree,Agree,Somewhat agree,Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Strongry Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree
2023-03-15 12:28:36,anonymous,EN,65,61,Female,,American,Caucasian/European American/White,,Proficient User,none,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,6,10,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Somewhat agree,Strongry Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Agree,Strongry Agree,Strongry Agree
2023-03-15 12:28:53,anonymous,EN,64,27,Female,,American,"African/African American/Black,Caucasian/European American/White,Hispanic/Latino/Latina/Latinx/Latine",,Native speaker,Spanish,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Not at all religious,14,6,Agree,Agree,Agree,Strongry Agree,Agree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Neither agree nor disagree
2023-04-11 13:13:40,anonymous,EN,77,38,Male,,American,Asian/Asian American,,Native speaker,Urdu,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Very Religious,13,7,Strongry Agree,Agree,Strongry Agree,Strongry Agree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Strongry Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2023-04-11 13:13:33,anonymous,EN,76,29,Female,,American,Caucasian/European American/White,,Native speaker,Basic French,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Not at all religious,Very Liberal,4,Somewhat agree,Agree,Strongry Agree,Strongry Agree,Strongry Agree,Agree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Strongry Agree,Neither agree nor disagree,Strongly Disagree,Strongry Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-04-12 08:25:18,anonymous,EN,78,39,Female,,American,Caucasian/European American/White,,Native speaker,"Spanish, German ",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Not at all religious,14,7,Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree
2023-04-12 08:25:21,anonymous,EN,79,61,Female,,American,"Caucasian/European American/White,Hispanic/Latino/Latina/Latinx/Latine",,Native speaker,Spanish,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,6,10,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongry Agree,Disagree,Disagree,Agree,Agree,Strongry Agree,Strongry Agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-04-12 09:28:27,anonymous,EN,81,58,Male,,USA,Caucasian/European American/White,,Native speaker,none,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,2,Very Conservative,7,Agree,Agree,Agree,Agree,Strongry Agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat agree
2023-04-12 09:27:40,anonymous,EN,80,54,Female,,American,Hispanic/Latino/Latina/Latinx/Latine,,Native speaker,"Portuguese, Spanish",Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Not at all religious,13,3,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Strongly Disagree,Disagree,Somewhat disagree,Strongly Disagree
2023-04-12 10:24:46,anonymous,EN,83,29,Male,,American,Caucasian/European American/White,,Native speaker,,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Not at all religious,10,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongry Agree,Neither agree nor disagree,Neither agree nor disagree,Strongry Agree,Strongry Agree,Strongly Disagree,Strongly Disagree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Somewhat agree,Somewhat agree
2023-04-12 10:24:50,anonymous,EN,82,57,Female,,United States,Caucasian/European American/White,,Native speaker,Spanish - Beginner,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Very Religious,13,7,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Strongry Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongry Agree,Strongry Agree,Disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
